ID;Author;Country;Title;Url;;;
366;"?Flowers, Helen	L. A";;Classification of the Folktales of the West Indies by Types and Motifs. (Indiana University Ph. D. thesis, 1952.) Microfilm Service, Ann Arbor, Michigan, 1953.;https://catalog.hathitrust.org/Record/000725392;;;
367;;;;;;;
368;"*FLR				= Folklore Record. 5 vols. London, 1878--82.";;;https://en.wikisource.org/wiki/Folk-Lore_Record;;;
369;;;;;;;
370;"FM				= Publications of the Field Columbian Museum, Anthropological Series, Chicago, 1895 ff.";;;https://archive.org/details/jstor_pubfcmanthroser;;;
371;;;;;;;
372;"FMS				= Fornmannasîgur Nordrlanda. 12 vols. Kobenhavn, 1925--37.";;;;;;
373;;;;;;;
374;"FochF			= Folkminnen och Folktankar. Lund.";;;;;;
375;;;;;;;
376;"Folklore Studies	(The Catholic University of Peking). 6 vols. Peiping, 1942--47.";;;https://nirc.nanzan-u.ac.jp/nfile/1193;;;
377;;;;;;;
378;"Fox, William S.	";;Greek and Roman Mythology (Mythology of all Races I). Boston, 1916.;https://archive.org/details/greekandromanmy01foxgoog;;;
379;;;;;;;
380;"*Frazer, J. G.		";;Apollodorus: the Library (Loeb Classical Library). London and New York, 1921.;https://archive.org/details/library00athegoog;;;
381;"*Frazer, J. G.		";;"				*The Belief in Immortality and the Worship of the Dead. 2 vols. London, 1913.";https://archive.org/details/beliefinimmortal00frazuoft;;;
382;"*Frazer, J. G.		";;"				*The Fasti of Ovid. 5 vols. London, 1929.";https://archive.org/details/ovidsfasti00oviduoft;;;
383;"*Frazer, J. G.		";;"				*Folklore in the Old Testament. 3 vols. London, 1918.";https://archive.org/details/folkloreinoldte00frazgoog , https://archive.org/details/folkloreintheold027451mbp , https://archive.org/details/folkloreinoldtes03fraziala;;;
384;"*Frazer, J. G.		";;"				*The Golden Bough. 3d edition. 12 vols. London, 1907--15.";https://archive.org/details/TheGoldenBough-Part1-TheMagicArtAndTheEvolutionOfKingsVol.1;;;
385;"*Frazer, J. G.		";;"				*Myths of the Origin of Fire. London, 1930.";https://archive.org/details/pausaniassdescri01pausuoft , ;;;
386;"*Frazer, J. G.		";;"				*Pausanias's Description of Greece. 6 vols. London, 1898.";;;;
387;;;;;;;
388;"Frey.			";;See Bolte.;;;;
389;;;;;;;
390;"Frobenius, Leo.	Atlantis:";;Volksdichtung und VolksM‰rchen Afrikas. 12 vols. Jena, 1921--28.;;;;
391;"				Erlebte Erdteile. Frankfurt a. M., 1925 ff.";;;;;;
392;"				and Fox, Douglas C. African Genesis. New York, 1937.";;;;;;
393;;;;;;;
394;"FSS				= Fornaldarsîgur Sudrlanda (ed. G. Cederschiîld). Kobenhavn, 1901.";;;;;;
395;;;;;;;
396;;;;;;;
397;"Gantenbein, B.		";;Sprichwîrter und Fabeln der Kamerun-Neger (Mitteilungen der ostschweizerischen Geograph-Commerciellen Gesellschaft II). St. Gallen, 1909.;;;;
398;;;;;;;
399;"*Gaster, Moses.	";;"BeitrÑge zur vergleichenden Sagen- und M‰rchenkunde (Gruz' Monatschrift fÅr Geschichte und Wissenschaft des Judentums, XXIX, XXX). Bukarest, 1880, 1881. (Separate reprint, 1882 also included in Studies and Texts in Folklore, cited below)."; ;;;
400;"				*The Exempla of the Rabbis. London, Leipzig, 1924.";;;;;;
401;"				*Studies and Texts in Folklore, Magic, Medieval Romance, Hebrew Apocrypha and Samaritan Archaeology. 3 vols. London, 1925--28.";;;;;;
402;;;;;;;
403;"?Gaster, Theodor H.	";;The Oldest Stories in the World. New York, 1952.;;;;
404;"					?Thespis. New York, 1950.";;;;;;
405;;;;;;;
406;Gautreks Saga (ed. W. Ranisch, Palaestra XI). 1900.;;;;;;
407;;;;;;;
408;"Gayton, A. H. and Newman, Stanley S.	";;Yokuts and Western Mono Myths. Berkeley (Calif.), 1940.;;;;
409;;;;;;;
410;"*Gerould, Gordon H.	";;The Grateful Dead (PFLS LX). London, 1908.;https://archive.org/details/gratefuldeadhist00gerouoft ;;;
411;;;;;;;
412;"*Gifford, E. W.	Tongan";;Myths and Tales. BMB VIII. Honolulu 1924.;;;;
413;;;;;;;
414;"Giles, Herbert A.	";;Strange Stories from a Chinese Studio. New York, 1927.;;;;
415;;;;;;;
416;"Gilgamisch		";; = Ungrad, A. and Gressman, H. Das Gilgamesch-Epos. G"ttingen, 1911.;;;;
;;;;;;;
;Goddard, Pliny Earle;;Myths and tales from the White Mountain Apache;https://archive.org/details/mythstalesfromwh00godd ;;;
417;;;;;;;
418;"*Golther, Wolfgang.	";;Zur deutschen Sage und Dichtung. Leipzig, 1911.;;;;
419;;;;;;;
420;Gˆngu HrÛlfs saga (FAS III 235 ff.).;;;;;;
421;;;;;;;
422;"Gonzenbach, Laura.	";;Sicilianische M‰rchen. 2 vols. Leipzig, 1870.;https://archive.org/details/sicilianischem00gonz ;;;
423;;;;;;;
424;"Graf, Arturo.		";;Miti, Leggende e Superstizioni del Medio Evo. 2 vols. Torino, 1892--93.;https://archive.org/details/mitileggendeesu03grafgoog ;;;
425;;;;;;;
426;"?Graham (Chinese)	";; = Graham, David Crockett. Songs and Stories of the Ch'uan Miao (Smithsonian Miscellaneous Publications CXXIII No. 1). Washington, D. C., 1954.;;;;
427;;;;;;;
428;"*Gray, Louis H.	";;Baltic Mythology (Mythology of All Races III). Boston, 1918.;https://archive.org/details/mythologyofallra11gray ;;;
429;;;;;;;
430;"Grenfell			= Johnson, Sir Harry.";; George Grenfell and the Congo, II. London, 1908.;https://archive.org/details/georgegrenfellco02johnuoft ;;;
431;;;;;;;
432;Grettis saga (ed. R. C. Boer). ASB VIII. Halle, 1900.;;;;;;
433;;;;;;;
434;GrÌmssaga Loinkinna (FAS II 143 ff.).;;;;;;
435;;;;;;;
436;"*Grinnell, G. B.	";;Pawnee Hero Stories and Folk-Tales. New York, 1889.;https://archive.org/details/pawneeherostorie01grin ;;;
437;;;;;;;
438;"*Grote, George.	";;History of Greece. 3 vols. London, 1888.;https://archive.org/details/in.ernet.dli.2015.173414;;;
439;;;;;;;
440;"Grundtvig, S.		";;Danmarks gamle Folkeviser. 8 vols. Kobenhavn, 1853--.;https://archive.org/details/danmarksgamlefo03denmgoog ;;;
441;;;;;;;
442;"Grunwald, M.		";;Spaniolic-Jewish Folktales and Their Motifs, Edoth II (1947), pp. 225--243 (in Hebrew).;;;;
443;;;;;;;
444;"GSCan			= Publications of the Geological Survey of Canada, Anthropological Series.";;;;;;
445;;;;;;;
446;Gull-p¢ris Saga (ed. Kr. Kaalund). Kobenhavn, 1898.;;;;;;
447;;;;;;;
448;"Gunnlaugs saga Ormstunga	(ed. E. Mogk). Altnordische Texte I, 1886.";;;;;;
449;;;;;;;
450;"*GÅ¸nter, H.		";;Die christliche Legende des Abendlandes. Heidelberg, 1910.;https://archive.org/details/diechristlichele00gnuoft;;;
451;;;;;;;
452;"G¸Åntert, H.		";;Der arische Weltkînig und Heiland. Halle, 1923. *Kalypso. Halle, 1919.;;;;
453;;;;;;;
454;"Gutmann, Bruno.	";;Volksbuch der Wadschagga. Leipzig, 1914.;;;;
455;;;;;;;
456;;;;;;;
457;"*Hackman, O.		";;Die Polyphemsage in der VolksÅberlieferung. Helsingfors, 1904.;;;;
458;;;;;;;
459;"Haddon, A. C.		";;Reports of the Cambridge Anthropological Expedition to Torres Straits. 6 vols. Cambridge (Eng.), 1901--35.;;;;
460;;;;;;;
461;"*Hagen, Friedrich Heinrich von der.	";;Gesammtabenteuer. 3 vols. Stuttgart and TÅbingen, 1850.;;;;
462;;;;;;;
463;H·lfdanar saga BrˆnufÛstra (FAS III 559 ff.).;;;;;;
464;;;;;;;
465;H·lfdanar saga Eysteinssonar (ed. F. R. Schrˆder). Halle, 1917.;;;;;;
466;;;;;;;
467;H·lfs saga ok H·lfsrekka (ed. A. Le Roy Andrews). Halle, 1909.;;;;;;
468;;;;;;;
469;"Halm, K. von.		";;Aisopeion Mython Synagoge. Lipsiae, 1852.;;;;
470;;;;;;;
471;"?Halpert, Herbert N.	";;Folktales and Legends from the New Jersey Pines. (Indiana University Ph. D. thesis). Typewritten ms. Indiana University Library. Bloomington, Ind., 1947.;http://www.worldcat.org/title/folktales-and-legends-from-the-new-jersey-pines-a-collection-and-a-study/oclc/4850230 ;;;
472;;;;;;;
473;"*Handbook of South American Indians	(ed. Julian H. Steward). BBAE CXLIII. 6 vols. Washington, D. C., 1946--50.";;;;;;
474;"*Handy, E. S. C.	";;Marquesan Legends. BMB LXIX. Honolulu 1930.;;;;
475;;;;;;;
476;"Harris, J. R.		";;Boanerges. Cambridge (Eng.), 1913.;;;;
477;"				The Cult of the Heavenly Twins. Cambridge, 1906.";;;;;;
478;"				Picus who is also Zeus. Cambridge, 1916.";;;;;;
479;;;;;;;
480;"Harris, Joel C.	";;*Uncle Remus: his Songs and Sayings. New York, 1880.;https://archive.org/details/uncleremushisson01harr;;;
481;"				*Uncle Remus and his Friends. Boston, 1892.";;;;;;
482;"				*Nights with Uncle Remus. Boston, 1883.";;;;;;
483;;;;;;;
484;"*Hartland, E. S.	";;The Legend of Perseus. 3 vols. London, 1894 ff.;https://archive.org/details/legendofperseuss01hart , https://archive.org/details/legendofperseuss02hart , , https://archive.org/details/legendofperseuss03hart ;;;
485;"*Hartland, E. S.	";;"				*Primitive Paternity. 2 vols. London, 1909.";;;;
486;"*Hartland, E. S.	";;"				*The Science of Fairy Tales. London, 1891.";https://archive.org/details/scienceoffairyta00hartiala;;;
487;;;;;;;
488;"Hatt, Gudmund.		";;*Asiatic Influences in American Folklore. Kobenhavn, 1949.;;;;
489;"				The Corn Mother in America and Indonesia. (Anthropos XLVI [1951] pp. 853--914.)";;;;;;
490;;;;;;;
491;"*Hdwb. d. Abergl.	= BÑchtold-StÑubli, H. and others. Handwîrterbuch des deutschen Aberglaubens. 10 vols. Berlin, 1927 ff.";;;;;;
492;;;;;;;
493;"*Hdwb. d. MÑrch.	= Mackensen, L. and others. Handwîrterbuch des deutschen M‰rchens. Berlin, 1931 ff.";;;;;;
494;;;;;;;
495;"*Heepe, M.		Jaunde-Texte. Hamburg, 1919.";;;;;;
496;;;;;;;
497;"Heiethreks saga.		See Hervararsaga ok Heiethreks konungs.";;;;;;
498;;;;;;;
499;"*Held, T. v.		";;M‰rchen und Sagen der africanischen Neger. Jena, 1904.;https://archive.org/details/bub_gb__QsyAQAAMAAJ_2;;;
500;;;;;;;
501;"Heptameron.		";F;See Marguerite de Navarre.;;;;
502;;;;;;;
503;"*Herbert, J. A.	";;"Catalogue of Romances in the Department of Manuscripts in the British Museum. London, 1910. (Vol. 3 only for vols. 1 and 2 see Ward, H. L. D.)"; ;https://archive.org/details/catalogueromanc00wardgoog;;
504;;;;;;;
505;"Herrmann, Paul.	";;ErlÑuterungen zu den ersten neun BÅchern der dÑnischen Geschichte des Saxo Grammaticus. 2 vols. Leipzig, 1901, 1922.;;;;
506;;;;;;;
507;"Nordische			Mythologie. Leipzig, 1903.";;;;;;
508;;;;;;;
509;"Hertel, A.		";;Verzauberte Oertlichkeiten. Hannover, 1908.;;;;
510;;;;;;;
511;"*Hertz, Wilhelm.	";;Aus Dichtung und Saga (ed. K. Vollmîller). Stuttgart and Berlin, 1907.;;;;
512;"				*Gesammelte Abhandlungen (ed. F. v. d. Leyen). Stuttgart and Berlin 1905.";;;;;;
513;"				Parzival. 2d ed. Stuttgart and Berlin, 1914.";;;;;;
514;"				Spielmannsbuch. Stuttgart, 1886.";;;;;;
515;"				Tristan und Isolde. Stuttgart, 1877.";;;;;;
516;;;;;;;
517;"Hervararsaga ok Heiethreks Konungs	(ed. J. Helgason). Kobenhavn, 1924.";;;;;;
518;;;;;;;
519;"Hervieux, L.		";F;Les fabulistes latins. 2d ed. 2 vols. Paris, 1893--4.;https://archive.org/details/lesfabulistesla03hervgoog;;;
520;;;;;;;
521;"Hibbard, Laura A.	";;Mediaeval Romance in England. New York, 1924.;https://archive.org/details/medivalromancein00loom;;;
522;;;;;;;
523;"HF				= Hoosier Folklore. Indianapolis, Ind., 1946 ff.";;;;;;
524;;;;;;;
525;Hj·lmterssaga ok ÷lvis (FAS III 453 ff.).;;;;;;
526;;;;;;;
527;"Hock, Stefan.		";;Die Vampyrsagen und ihre Verwertung in der deutschen Literatur. Berlin, 1900.;;;;
528;;;;;;;
529;"*Holm, G.			";;Sagn og Fortëllinger fra Angmagsalik (Meddelelser om Gronland X 237 ff.).;;;;
530;;;;;;;
531;"Holmberg, Uno.		";;*Der Baum des Lebens (Annales Academiae Scientiarum Fennicae XVI. B). Helsinki, 1922--3.;;;;
532;"				*Finno-Ugric Mythology (The Mythology of all Races IV). Boston, 1927.";;;;;;
533;"				Gudstrons uppkomst. Uppsala, 1917.";;;;;;
534;"				*Siberian Mythology (The Mythology of all Races IV). Boston 1927.";;;;;;
535;;;;;;;
536;*Holmstrˆm, Helge. ;;Studier ˆver svanjungfrumotivet. Malmˆ, 1919.;;;;
537;;;;;;;
538;"*Howey, M. O.		";;The Horse in Magic and Myth. London, 1923.;;;;
539;;;;;;;
540;Hrﬂolfs Saga Kraka;;(ed. Finnur Jonsson). Kobenhavn, 1904.;;;;
541;;;;;;;
542;*Hromundarsaga Greipssonar (FAS II 363 ff.).;;;;;;
543;;;;;;;
544;"*Huber, P. Michael.	";;Die Wanderlegende von den SiebenschlÑfern. Leipzig, 1910.;;;;
545;;;;;;;
546;"*Huet, G.			";F;Les contes populaires. Paris, 1923.;https://archive.org/details/ContesPopulaires ;;;
547;;;;;;;
548;"*Hultkrantz, èke.	";;Conceptions of the Soul Among North American Indians. Stockholm, 1953.;;;;
549;;;;;;;
550;;;;;;;
551;"Irwin, Cecilia Pauze.	";;Summaries of the Stories of BÈroalde de Verville's Le Moyen de Parvenir. Unpublished M. A. thesis, University of South Carolina, 1953.;;;;
552;;;;;;;
553;"Ittman, J.		";;*Einiges aus Bankon-Literatur (ZsES XVII). *Nyang-M‰rchen (ZsES XVII).;;;;
554;;;;;;;
555;;;;;;;
556;"Jacobs, Joseph.	";;Book of Wonder Voyages. London, 1896.;https://archive.org/details/bookofwondervoya00jacoiala ;;;
557;"Jacobs, Joseph.	";;"				*The Fables of Aesop. New York, 1894.";https://archive.org/details/fablesofaesopasf01aesouoft ;;;
558;"Jacobs, Joseph.	";;"				Celtic Fairy Tales. London, 1892.";https://archive.org/details/celticfairytale00jacorich ;;;
559;"Jacobs, Joseph.	";;"				More Celtic Fairy Tales. London, 1894.";https://archive.org/details/morecelticfairyt00jaco ;;;
560;"Jacobs, Joseph.	";;"				English Fairy Tales. London, 1890.";https://archive.org/details/englishfairytal00unkngoog ;;;
561;"Jacobs, Joseph.	";;"				More English  Fairy,Tales. London, 1895.";https://archive.org/details/moreenglishfairy00jacorich ;;;
;"Jacobs, Joseph.	";;Indian Fairy Tales. London, 1912.;https://archive.org/details/in.ernet.dli.2015.42176 ;;;
;"Jacobs, Joseph.	";;European folk and fairy tales, New-York 1916.;https://archive.org/details/europeanfolkfair00jaco ;;;
562;;;;;;;
563;"*Jacobs' list		= Jacobs, Josep92.";;"""List of Folk-Tale Incidents common to European Folk-Tales"" in Papers and Transactions of the International Folk-lore Congress, 1891. London, 1892.";;;;
564;;;;;;;
565;"*Jacottet, E.		";;The Treasury of Basuto Lore. London, 1908.;https://archive.org/details/treasuryofbasuto01jaco ;;;
566;;;;;;;
567;"*JAFL			= Journal of American Folk-Lore. Boston, etc., 1888 ff.";;;https://muse.jhu.edu/journal/87 ;;;
568;;;;;;;
569;"JAI				= Journal of the Royal Anthropological Institute of Great Britain and Ireland. London, 1871 ff.";;;http://onlinebooks.library.upenn.edu/webbin/serial?id=jroyalanthrogb ;;;
570;;;;;;;
571;"JAOS				= Journal of the American Oriental Society. Boston, etc., 1849 ff.";;;https://archive.org/details/jstor_jameroriesoci ;;;
572;;;;;;;
573;"?Jansen, William Hugh.	";;"Abraham ""Oregon"" Smith: pioneer, folk hero, and tale-teller. (Indiana University Ph. D. thesis.) Typewritten MS. Indiana University Library. Bloomington (Ind.), 1949.";;;;
574;;;;;;;
575;"JAS				= Journal of the African Society. 34 vols. London, 1862--1900.";;;;;;
576;;;;;;;
577;"Jataka.			See Cowell.";;;;;;
578;;;;;;;
579;"JE				= Publications of the Jesup North Pacific Expedition. New York, etc., 1898 ff.";;;;;;
580;;;;;;;
581;"*Jegerlehner, Johannes.	";;Sagen und M‰rchen aus dem Oberwallis. Basel, 1909.;;;;
582;;;;;;;
583;"Jenness, Diamond.	";;Notes and Traditions from Northern Alaska (Report of the Canadian Arctic Expedition, Southern Party, 1913--16, XIII). Ottawa, 1924.;;;;
584;;;;;;;
585;"Jensen, P.		";;Das Gilgamesch-Epos in der Weltliteratur. Strassburg, 1906.;;;;
586;;;;;;;
587;"*Jijena Sanchez, Rafael.	El Perro Negro. Buenos Aires, 1952.";;;;;;
588;;;;;;;
589;"Johnson, Sir Harry.	";;George Grenfell and the Congo, Vol. II. London, 1908.;https://archive.org/details/georgegrenfellco01johnuoft ;;;
590;;;;;;;
591;"*Jones, Louis C.	";;Spooks of the Valley: ghost stories for boys and girls. Boston, 1948.;;;;
592;;;;;;;
593;"JPASB			= Journal and Proceedings of the Asiatic Society of Bengal.";;;;;;
594;;;;;;;
595;"JSFO				= Journal de la SociÇtÇ Finno-ougrienne. Helsingfors, 1886 ff.";;;;;;
596;;;;;;;
597;"*Junod, H. A.		";;The Life of a South African Tribe, Vol. II. NeuchÉtel, 1913.;https://archive.org/details/lifeofsouthafric02junouoft ;;;
598;;;;;;;
599;;;;;;;
600;"*Kalevala,		";;the land of heroes (W. F. Kirby, tr.). London, 1907.;https://archive.org/details/in.ernet.dli.2015.94361 ;;;
601;;;;;;;
602;"KÂlund, K.		";;Kirialax Saga. Kobenhavn, 1917.;;;;
603;;;;;;;
604;"Keightley, Thomas.	";;Fairy Mythology. London, 1847.;https://archive.org/details/fairymythology00keigoog ;;;
605;;;;;;;
606;"Keith, A. B.		";;Indian Mythology (The Mythology of all Races VI). Boston, 1917.;https://archive.org/details/mythologyofallra61gray ;;;
607;;;;;;;
608;"?Keller, John Esten.	";;Motif-Index of Mediaeval Spanish Exempla. Knoxville (Tenn.), 1949.;;;;
609;;;;;;;
610;"Kennedy, P.		";;Legendary Fictions of the Irish Celts. London, 1866.;https://archive.org/details/legendaryfictio01kenngoog ;;;
611;;;;;;;
612;"*Ker, Anna.		";;Papuan Fairy Tales. London, 1910.;https://archive.org/details/papuanfairytales00kera ;;;
613;;;;;;;
614;Ketilssaga Haengs (FAS II 109 ff.).;;;;;;
615;;;;;;;
616;"*Kidd, D.			";;Savage Childhood: a Study of Kaffir Children. London, 1906.;https://archive.org/details/savagechildhoods00kidduoft ;;;
617;;;;;;;
618;"*Kittredge, G. L.	";;Arthur and Gorlagon (Harvard Studies and Notes in Philology and Literature VIII). Boston, 1903.;https://archive.org/details/cu31924027098072 ;;;
619;"*Kittredge, G. L.	";;"				*A Study of Gawain and the Green Knight. Cambridge (Mass.), 1916.";https://archive.org/details/cu31924012959502 ;;;
620;"*Kittredge, G. L.	";;"				*Witchcraft in Old and New England. Cambridge (Mass.), 1929.";https://archive.org/details/witchcraftinoldn00kitt_0 ;;;
621;;;;;;;
622;"Klapper, Joseph.	";;ErzÑhlungen des Mittelalters. Breslau, 1914.;https://archive.org/details/erzhlungendesmit00klap ;;;
623;;;;;;;
624;"*Knowles, J. H.	";;Folk-Tales of Kashmir. London, 1893.;https://archive.org/details/folktalesofkashm00know ;;;
625;;;;;;;
626;"*Kˆhler, Reinhold.	";;AufsÑtze Åber M‰rchen und Volkslieder (ed. J. Bolte and E. Schmidt). Berlin, 1894.;;;;
627;;;;;;;
628;"*Kˆhler-Bolte		";;  =  Kˆhler, R. Kleinere Schriften (ed. J. Bolte). 3 vols. Weimar, 1898--1900.;https://archive.org/details/kleinereschrifte03khuoft ;;;
629;;;;;;;
630;"Kîlbing, E.		";;Riddarsîgur. Kobenhavn, 1872.;;;;
631;;;;;;;
632;"Krappe, A. H.		";;Les Sources du Libro de Exemplos, Bulletin Hispanique, XXXIX, pp. 5--54.;;;;
633;"Krappe, A. H.		";;"				*Balor with the Evil Eye: Studies in Celtic and French Literature. New York, 1927.";;;;
634;"Krappe, A. H.		";F;*Etudes de mythologie et de folklore germaniques. Paris, 1928.;;;;
635;"Krappe, A. H.		";;"				The Science of Folk-Lore. London, 1930.";;;;
636;;;;;;;
637;"*Kristensen, Evald Tang.	";;Danske Sagn. 2d ed. 6 vols. Kobenhavn, 1928--36.;;;;
638;;;;;;;
639;"Krohn, Kaarle.		";;*Bar (wolf) und Fuchs (JSFO VI). Helsingfors, 1886.;;;;
640;"Krohn, Kaarle.		";;"				Der gefangene Unhold (Finnische-Ugrische Forschungen VII 129--84). Helsingfors, 1908.";;;;
641;"Krohn, Kaarle.		";;"				*Mann und Fuchs. Helsingfors. 1891.";;;;
642;;;;;;;
643;"Krug, Adolph N.	";;Bulu Tales from Kamerun, West Africa (JAFL XXV).;https://archive.org/details/jstor-534804 ;;;
644;;;;;;;
645;"Kruyt, A. C.		";;Het Animisme in den Indischen Archipel. 'sGravenhage, 1906.;https://archive.org/details/hetanimismeinde00kruigoog ;;;
646;;;;;;;
647;;;;;;;
648;"*Lagerholm, A.	";;Drei Lygisogur (ASB XVII). Kobenhavn, 1927.;;;;
649;;;;;;;
650;"*Laistner, Ludwig.	";;Das R‰tsel der Sphinx. 2 vols. Berlin, 1889.;https://archive.org/details/dasrtseldersphi00laisgoog;;;
651;;;;;;;
652;"Landau, M.		";;Die Quellen des Dekameron. 2d ed. Stuttgart, 1884.;https://archive.org/details/diequellendesde00landgoog ;;;
653;;;;;;;
654;"*Landtman, G.		";;The Folk-Tales of the Kiwai Papuans (Acta Societatis Scientiarum Fennicae XLVII). Helsingfors, 1917.;;;;
655;;;;;;;
656;"Lang, Andrew.		";;The Delectable Tale of the Marriage of Cupid and Psyche, done into English by William Adlington. London, 1886. Myth, Ritual and Religion. 2 vols. London, 1887.;https://catalog.hathitrust.org/Record/001769088;;;
657;;;;;;;
658;"*Langdon, S. H.	";;Semitic Mythology (The Mythology of all Races V). Boston, 1931.;https://archive.org/details/MythologyOfAllRacesVolume5 ;;;
659;;;;;;;
660;"Largeau, V.		";F;Elements de Grammaire et Dictionnaire FranÁais-Pahouin. Paris, 1901.;;;;
661;;;;;;;
662;"Laserstein, KÑte.	";;Der Griseldisstoff in der Weltliteratur (Forschungen zur neueren Literaturgeschichte LVIII). Weimar, 1926.;;;;
663;;;;;;;
664;"Latchman, Ricardo E.	";;Las creencias religiosas de los antiguos peruanos. Santiago de Chile, 1929.;;;;
665;;;;;;;
666;"Lawrence, R. M.	The Magic of the Horseshoe. London and Boston, 1898.";;;;;;
667;;;;;;;
668;"Le Braz, A.		";F;La LÈgende de la Mort chez les Bretons armoricains. 2 vols. Paris, 1902.;http://gallica.bnf.fr/ark:/12148/bpt6k8630199c/f1.image;;;
669;;;;;;;
670;"Lederbogen, Wilhelm.	";;*Kameruner M‰rchen. Berlin, 1901.;;;;
671;"Lederbogen, Wilhelm.	";;"				*Du‚la M‰rchen (Mittheilungen des Seminars fÅr Orientalische Sprachen, VI, Dritte Abteilung). Berlin, 1903.";;;;
672;"				Duala Fables. JAS IV (1904--05).";;;;;;
673;;;;;;;
674;"*Lee, A. C.		";It;The Decameron, its Sources and Analogues. London, 1909.;;;;
675;;;;;;;
676;"*Leland, Charles Godfrey.	";;The Algonquin Legends of New England. Boston, 1884.;https://archive.org/details/algonquinleg00lelarich , http://www.gutenberg.org/cache/epub/6803/pg6803-images.html , https://publicdomainreview.org/collections/the-algonquin-legends-of-new-england-1884/;;;
677;;;;;;;
678;"Leskien			= Leskien, A. and Brugmann, K.";;Litauische Volkslieder und M‰rchen. Strassburg, 1882.;;;;
679;;;;;;;
680;"*Leyden, F. von der.	";;Das M‰rchen, 3d ed. Leipzig, 1925.;;;;
681;"					*Das M‰rchen in den Gîttersagen der Edda. Berlin, 1899.";;;;;;
682;"					Der gefesselte Unhold (Prager deutsche Studien, Heft 8, Sonderabzug, 1--29). Prag, 1908.";;;;;;
683;;;;;;;
684;"*Liebrecht, Felix.	";;Zur Volkskunde. Heilbronn, 1879.;;;;
685;;;;;;;
686;"*Liljeblad, Sven.	";;Die Tobiasgeschichte und andere M‰rchen mit toten Helfern. Lund, 1927.;;;;
687;;;;;;;
688;"*Liungman, W.		";;En traditions studie îver sagan om Prinsessan i Jordkulan. Gîteborg, 1925.;;;;
689;"				*TvÜ Folkminnesundersîkningar. Gîteborg, 1925.";;;;;;
690;"				Sveriges Samtliga Folksagor. 3 vols. Djursholm (Sweden), 1950--52.";;;;;;
691;;;;;;;
692;"Lloyd, John W.		";;Aw-aw-tam Indian Nights. Westerfield, N. J., 1911.;https://archive.org/details/awawtamindian00lloyrich;;;
693;;;;;;;
694;"Loomis, C. Grant.	";;White Magic: an Introduction to the Folklore of Christian Legend. Cambridge (Mass.), 1948.;;;;
695;;;;;;;
696;"Loomis, R. S.		";;Celtic Myth and Arthurian Romance. New York, 1927.;;;;
697;;;;;;;
698;"Loorits, Oskar.	";;GrundzÅge des estnischen Volksglaubens, Vol. I. Lund, 1949.;;;;
699;;;;;;;
700;"Lorentzen, Th.		";;Die Sage vom Rodensteiner. Heidelberg, 1903.;;;;
701;;;;;;;
702;*Lˆwis, A. von, of Menar. ;;Die BrÅnhildsage in Russland (Palaestra No. 142). Leipzig, 1923.;;;;
703;;;;;;;
704;"*Luomala, Katherine.	";;Maui-of-a-Thousand-Tricks. BMB CXCVIII. Honolulu, 1949.;;;;
705;;;;;;;
706;"Luzel, F. M.		";F;Contes populaires de Basse-Bretagne. 3 vols. Paris, 1887.;https://fr.wikisource.org/wiki/Contes_populaires_de_Basse-Bretagne ;;;
707;;;;;;;
708;;;;;;;
709;"MacCulloch, J. A.	";;*Celtic Mythology (The Mythology of all Races III). Boston, 1918.;http://archive.org/stream/mythologyofallra03gray#page/n7/mode/2up ;;;
710;"MacCulloch, J. A.	";;"				*The Childhood of Fiction. London, 1905.";https://archive.org/details/childhoodofficti00maccrich ;;;
711;"MacCulloch, J. A.	";;"				*Eddic Mythology (The Mythology of all Races II). Boston, 1930.";;;;
712;;;;;;;
713;"MacDougall, James,	and Calder, George.";;Folk Tales and Fairy Lore in Gaelic and English. Edinburgh, 1910.;https://archive.org/details/folktalesfairylo00macduoft;;;
714;;;;;;;
715;*M·chal, J.†;;Slavic Mythology (The Mythology of all Races III). Boston, 1918.;https://archive.org/details/mythologyofall03gray;;;
716;;;;;;;
717;"MacKay, D. E.		";;The Double Invitation in the Legend of Don Juan. Stanford University, 1943.;;;;
718;;;;;;;
719;"?McKay, J. G.		";;More West Highland Tales. Edinburgh and London, 1940.;;;;
720;;;;;;;
721;"MAFLS			= Memoirs of the American Folk-Lore Society.";;;;;;
722;;;;;;;
723;"*Malalasekera, George Peiris.	";;Dictionary of Pali Proper Names. 2 vols. London, 1937.;;;;
724;;;;;;;
725;"*Malory, Sir Thomas.	";;Morte D'Arthur (many editions).;;;;
726;;;;;;;
727;"Mannhart, W.		";;Wald und Feldkulte. 2 vols. 2d ed. Berlin, 1904--05.;;;;
728;;;;;;;
729;"*Mansfeld, Alfred.	";;Urwald-Dokumente: Vier Jahre unter den Cross-flussnegern Kameruns. Berlin, 1908.;;;;
730;;;;;;;
731;"Marie-Ursule, Soeur.	";;Civilisation traditionelle des Lavalois. (Les Archives de Folklore V--VI). QuÈbec, 1951.;;;;
732;;;;;;;
733;"*Marguerite de Navarre.	";F;Heptameron. 3 vols. (ed. Dillage, Paris, 1879). (Analysis by Sarah C. Pinkney, University of South Carolina).;http://gallica.bnf.fr/ark:/12148/bpt6k9671469w ;;;
734;;;;;;;
