ID;Author;Country;Title;Url;;;
79;*Bateman, G. W.;;Zanzibar Tales. Chicago, 1901.;http://folkmasa.org/yashpeh/mb_bookp.php?mishtane=81;;;
80;;;;;;;
81;"?Baughman, Ernest Warren.	";;A Comparative Study of the Folktales of England and North America. (Indiana University dissertation.) Ann Arbor, Michigan. Microfilm Service. 1954.;;;;
82;;;;;;;
83;"BBAE				";;;https://archive.org/details/bulletin1331943smit;;;
84;;;;;;;
85;"Beal				";;;;;;
86;;;;;;;
87;"Beauvois, E.		";F;L'autre vie dans la mythologie scandinave (Reprint from MusÇon). Paris, 1883.;;;;
88;;;;;;;
89;"Bebel. 			";;See Wesselski.;;;;
90;;;;;;;
91;"Beckwith, Martha.	";;Hawaiian Mythology. New Haven, 1940.;;;;
92;;;;;;;
93;"*BÈdier, Joseph.	";F;Les Fabliaux. 2d edition. Paris, 1893.;http://gallica.bnf.fr/ark:/12148/bpt6k5531462t;;;
94;;;;;;;
95;"Bender, C. J.		";;Die Volksdichtung der Wakweli. ZsES Beiheft IV (1922), 38 ff.;;;;
96;;;;;;;
97;"Benedict, Ruth.	Zu§i";;Mythology. 2 vols. New York, 1935. (All references are to Volume II.);;;;
98;;;;;;;
99;"BÈranger-Feraud, L. J. B.	";;Recueil de Contes Populaires de SÈnÈgambie. Paris, 1879.;https://archive.org/details/recueildecontesp00bere;;;
100;;;;;;;
101;Biblioteca Africana (D. A. Drexel ed.);;Innsbruck, 1924--31.;;;;
102;;;;;;;
103;"*Bin Gorion, M. J.	";;Der Born Judas: Legenden, M‰rchen und ErzÑhlungen. 6 vols. Leipzig, 1918 ff. (Vols. 1--4 cited are second edition, 5 and 6 are first edition).;;;;
104;;;;;;;
105;"BladÈ, J. F.		";F;Contes populaires de Gascogne (Les LittÈratures Populaires, Nos. 19, 20, 21). 3 vols. Paris, 1886.;https://archive.org/details/contespopulaire00bladgoog;;;
106;;;;;;;
107;"*Bleek, W. H. I.	";;Reynard the Fox in South Africa or Hottentot Fables and Tales. London, 1864.;https://archive.org/details/reynardfoxinsou02bleegoog;;;
108;;;;;;;
109;"*Bleek, W. H. I.,	and Lloyd, L. C.";;Specimens of Bushman Folklore. London, 1911.;https://archive.org/details/specimensofbushm00bleeuoft;;;
110;;;;;;;
111;"Blinkenberg, Chr.	";;The Thunder Weapon in Religion and Folklore. Cambridge, 1911.;https://archive.org/details/cu31924029910951;;;
112;;;;;;;
113;Bloomfield, Maurice,;;Studies in Honor of. New Haven, 1920.;https://archive.org/details/studiesinhonorof00bloouoft;;;
114;;;;;;;
115;"BMB				= Bishop Museum Bulletin.";;;https://archive.org/details/bernicepbishopmu16192223bern;;;
116;;;;;;;
117;"Boas, Franz.		";;Indianische Sagen von der Nord-Pacifischen KÅste Amerikas. Berlin, 1895.;https://archive.org/details/cihm_02419;;;
118;;;;;;;
119;"?Boberg, Inger M.	";;Motif-Index of Early Icelandic Literature (Biblioteca Arnamagnëana). Kobenhavn 1956.;;;;
120;;;;;;;
121;"Bodker, Laurits.	";;Christen Nielssen, De Gamle Vijses Exempler oc Hoffsprock. Kobenhavn, 1951, 1953.;;;;
122;;;;;;;
