67;67;Le conte populaire en Cévennes;Jean Noël Pelen;Payot & Rivages;1994;;67
68;68;L'anneau magique Nouveaux Contes licencieux de l'Aquitaine 2;Antonin Perbosc;GARAE;?;;68
69;69;Le conte populaire français;P.Delarue et M.L. Tenèze;Maisonneuve & Larose;1997;;69
70;70;Le conte populaire;Michèle Simonsen;Presses Universitaires de France;1984;;70
71;71;Les cent nouvelles nouvelles;;Presses Universitaires de Lyon;1991;Roger Dubuis;71
72;72;Le Conte populaire français - Contes Nouvelles;Paul Delarue et Marie Louise ténèze;Editions du C.T.H.S.;2000;;72
73;73;Le Conteur de Loup;Caude Seignolle;Editions Hesse;1995;;73
74;74;Contes et Légendes de l'Ours;Michel Bournaud;Editions Hesse;1996;;74
75;75;Contes et légendes du Renard;Michel Bournaud;Editions Hesse;1997;;75
76;76;Contes et légendes de l'Oiseau;Michel Bournaud;Editions Hesse;1999;;76
77;77;L'arbre d'amour et de sagesse;Henri Gougaud;Editions du Seuil;1992;;77
78;78;L'arbre aux trésors;Henri Gougaud;Editions du Seuil;1987;;78
79;79;L'arbre à soleils;Henri Gougaud;Editions du Seuil;1979;;79
80;80;La bible du hibou;Henri Gougaud;Editions du Seuil;1993;;80
81;81;365 Contes pour tous les âges;Muriel Bloch;Gallimard Jeunesse;1995;;81
82;82;Histoires Merveilleuses des cinq continents;Ré & Philippe Soupault;Seghers;1996;;82
83;83;Les maîtres de la parole créole;Raphaël Confiant;Gallimard;1995;;83
84;84;Contes du centre algérien;Youssef Nacib;Publisud;1986;;84
85;85;Contes de l'est algérien - Les graines de la douleur;Rabah Belamri;Publisud;1982;;85
86;86;Contes de l'est algérien - La rose rouge;Rabah Belamri;Publisud;1990;;86
87;87;Contes de syrie;Abd al-Razzak Djafaar;Publisud;1991;;87
88;88;Paraboles et contes d'Afrique du nord;J. Scelles-Millie;Maisonneuve & Larose;1982;;88
89;89;Contes berbères de l'Atlas de Marrakech;Alphone Leguil;L'Harmattan;1988;;89
90;90;Contes et légendes berbères de Ouargla;Jean Delheure;La boîte à documents;1989;;90
91;91;Contes merveilleux de Tunisie;Bochra ben Hassen, Thierry Charnay;Maisonneuve & Larose;1997;;91
92;92;Contes berbères de Kabylie et de France;Mélaz Yakouben;Karthala;1997;;92
93;93;Lundja - Contes du Maghreb;S.A.H.Y.K.O.D;L'Harmattan;1987;;93
94;94;Hadidouane et la sorcière - Contes du Maghreb;S.A.H.Y.K.O.D;L'Harmattan;1990;;94
95;95;La fontaine des gazelles - Contes d'Algérie;Annie Verdelet-Lamare, Abdelouahab Bensoltane;Publisud;1989;;95
96;96;Le grain magique;Taos Amrouche;Maspéro;1981;;96
97;97;Récit des hommes libres - Contes Berbères;Hamadi;Seuil;1998;;97
98;98;Contes Kabyles recueillis par Léo Frobénius - tome I : Sagesse;Léo Frobénius;Edisud;1995;Mokran Fetta;98
99;99;Contes Kabyles recueillis par Léo Frobénius - tome II : Le monstrueux;Léo Frobénius;Edisud;1996;Mokran Fetta;99
100;100;Contes Kabyles recueillis par Léo Frobénius tome III : Le Fabuleux;Léo Frobénius;Edisud;1997;Mokran Fetta;100
101;101;Contes Kabyles recueillis par Léo Frobénius tome IV : Autres contes fabuleux;Léo Frobénius;Edisud;1998;Mokran Fetta;101
102;102;Contes populaires grivois des pays de France;Jean Markale;Editions du Rocher;1997;;102
103;103;Petits contes licencieux des provinces de France;Philippe Camby;Terre de brume;1999;;103
104;104;Petits contes licencieux des Bretons Tome 1;Philippe Camby;Terre de brume;1997;;104
105;105;Petits contes licencieux des Bretons Tome 2;Philippe Camby;Terre de brume;1997;;105
106;106;Le décameron;Boccace;Bordas;1988;;106
107;107;Contes Berbères n'tifa du Maroc - Le chat enrichi;Georges Oucif et Abdellah Khallouk;Publisud;1994;;107
108;108;Contes populaires tibétains;;Editions en Langue Etrangère Beijing Chine;1990;;108
109;109;Contes populaires chinois - Le duel du buffle et du tigre;;Editions en Langue Etrangère Beijing Chine;1985;;109
110;110;Contes populaires chinois - Les sept filles;;Editions en Langue Etrangère Beijing Chine;1985;;110
111;111;Contes populaires chinois - L'esclave et la fille du roi dragon;;Editions en Langue Etrangère Beijing Chine;1985;;111
112;112;Contes populaires chinois - A la recherche du soleil;;Editions en Langue Etrangère Beijing Chine;1984;;112
113;113;Contes et nouvelles des Philippines;;Pour l'Analyse du Folklore;1986;M.Coyaud et J-P Potet;113
114;114;Contes populaires de Corée;;Pour l'Analyse du Folklore;1978;M.Coyaud et JM Li;114
115;115;Contes et légendes de Corée;;Pour l'Analyse du Folklore;1990;M.Coyaud et JM Li;115
116;116;Poésies et contes du Japon;Maurice Coyaud;Pour l'Analyse du Folklore;1993;;116
117;117;Contes de la dynastie des Tang;;Editions en Langue Etrangère Beijing Chine;1986;;117
118;118;Légendes de Dragons - Récits Chinois;;Editions Littérature Chinoise;1993;;118
119;119;Cornes de lièvre et plumes de tortue - Contes populaires du Tibet;Patrick Carré;Seuil;1997;;119
120;120;Le Cambodge des contes;Sloange Thierry;L'Harmattan;1985;;120
121;121;Aubergines magiques - Contes érotiques de corée;Maurice Coyaud JM Li;Pour l'Analyse du Folklore;1980;;121
122;122;Fables de la chine antique;;Editions en Langue Etrangère Beijing Chine;1984;;122
123;123;Contes de la mort des pays de France;Jean Markale;Albin Michel - Edition de poche;1992;;123
124;124;De bouche à oreille - Le conte populaire français;Geneviève Massignon;Berger-Levrault - Territoires;1983;;124
125;125;CPHB - Contes des marins;P.Sébillot;Terre de Brumes Editions;2000;;125
126;126;Le trésor des Contes - Le Bestiaire;Henri Pourrat;Gallimard;1986;;126
127;127;Le vrai petit chaperon rouge et autres contes;Michel Gautier;Geste Editions;1999;;127
128;128;Pançatantra;;Gallimard/Unesco;1965;Edouard Lancereau;128
129;129;Le trésor des Contes - Les fous et les sages;Henri Pourrat;Gallimard;1986;;129
130;130;HITOPADESA ou l'instruction utile;;Maisonneuve & Larose;;Edouard Lancereau;130
131;131;Fables d'Esope;Esope;GF Flammarion;1995;Daniel Loayza;131
132;132;Le trésor des Contes - Les amours;Henri Pourrat;Gallimard;1981;;132
133;133;La Fontaine - Oeuvre complète;La Fontaine;Editions du Seuil;1965;;133
134;134;Le trésor des Contes - Les Fées;Henri Pourrat;Gallimard;1983;;134
135;135;Le trésor des Contes - Le diable et ses diableries;Henri Pourrat;Gallimard;1977;;135
136;136;120 histoires de bêtes d'ici et d'ailleurs;René Poirier;Gründ;1957;;136
137;137;Les contes de Cantorbéry - 2ème partie;Geoffroy Chaucer;Peeters Louvain Paris;1986;Juliette de Caluwé-Dor;137
138;138;Le chevalier nu - Contes de l'Allemagne médiévale;;Stock/Moyen Age;1988;D. Buschinger, J.M. Pastré, W. Spiewok;138
139;139;Fables françaises du moyen âge;;GF - Flammarion;1996;J.M. Boivin L. Harf-Lancner;139
140;140;Lais féeriques des XIIe et XIIIe siècles;;GF - Flammarion;1992;Alexandre Micha;140
141;141;Les Lais de Marie de France;Marie de france;Honoré Champion traductions;1982;Pierre Jonin;141
142;202;Les Contes du Perroquet;;Gallimard;1984;Amina Okada;202
143;203;Contes Populaires de l'Egypte ancienne;G. Maspéro;Maisonneuve & Larose;1998;;203
144;204;Le bol et le bâton - 120 contes Zen;Maître Taisen Deshimaru;Albin Michel - Spiritualités vivantes;1986;;204
145;205;Contes pour rire ? Fabliaux des XIIIe et XIVe siècles;;Union Générale d'éditions / 10 18;1977;Nora Scott;205
146;206;Fabliaux et contes du Moyen Age;;Librairie Générale Française - le livbre de poche;1987;J.C. Aubailly;206
147;207;Fabliaux érotiques;;Librairie Générale Française - le livbre de poche;1992;L. Rossi;207
148;208;Le cercle des menteurs - Contes philosophiques du monde entier;Jean Claude Carrière;Plon;1998;;208
149;209;Contes et fêtes de la mort;Colette Estin;Beauchesne;1993;;209
150;210;Le langage des oiseaux;Attar;Albin Michel;1996;Garçin de Tassy;210
151;211;Le Mesnevi 150 Contes Soufis;Djalal al-Din Rumi;Albin Michel;1988;A.K. Erguner et P. Maniez;211
152;212;Contes Derviches;Idries Shah;Le courrier du livre;1979;;212
153;213;Les mille et une nuits;;Edition de G.Picard - Classiques Garnier;1988;Galland;213
154;214;Keepsake des Jeunes Filles - 58 Contes et récits pour Véronique;Sylvie François;Gründ;1957;;214
155;215;Contes;Charles Perrault;Flammarion;1989;Marc Soriano;215
156;216;Histoires Etranges et Merveilleuses;Ahmad al-Qalyoûbî;Phébus;1977;René R. Khawam;216
157;217;Les Mille et une Nuits - Dames insignes et serviteurs galants;;Phébus;1986;René R. Khawam;217
158;218;Les Mille et une Nuits - Les coeurs inhumains;;Phébus;1986;René R. Khawam;218
159;219;Les Mille et une Nuits - Les passions voyageuses;;Phébus;1987;René R. Khawam;219
160;220;Les Mille et une Nuits - La saveur des jours;;Phébus;1987;René R. Khawam;220
161;221;Cent et Un Contes - Nouvelles et Récits;Maurice Fombeure;Gründ;1956;;221
