15243;Les trois royaumes III;;;1;301;;0;;0;;0;;0;;0;;;;;;56-130/71 e;2
15244;Roule-Petit-Pois II (bi�lorusse);;;1;312;D;300;A;0;;0;;0;;0;;;;;;57-134/74 b;2
15245;Vassilissa � la tresse d'or et Ivan-le-Pois;;;1;312;D;0;;0;;0;;0;;0;;;;;;58-560/74 R;2
15246;Ivan-Taurillon;;;1;300;A;513;A;0;;0;;0;;0;;;;;;59-137/77;2
15247;Ivan-fils de chienne et le Blanc Guerrier de la steppe;;;1;301;;0;;0;;0;;0;;0;;;;;;60-139/79;2
15248;Ivachko-Ourseau;;;1;301;;0;;0;;0;;0;;0;;;;;;61-141/81 a;2
15249;Le navire volant;;;1;513;B;0;;0;;0;;0;;0;;;;;;62-144/83;2
15250;Les sept Sim�on ll;;;1;653;;1880;;0;;0;;0;;0;;;;;;63-146/84 b;2
15251;Le dragon et le tsigane;;;1;1060;;1084;;1053;A;1049;;1149;;0;;;;;;64-149/86;2
15252;Le valet;;;1;650;A;1045;;1132;;1120;;0;;0;;;;;;65-150/87;2
15253;Ivanko-Ourseau;;;1;650;A;1006;;1009;;1045;;1072;;1063;;1082;;1130;;66-152/89;2
15254;Le soldat d�livre la princesse;;;1;1061;;1060;;1162;;300;;0;;0;;;;;;67-153/90;2
15255;Les deux Ivan-fils de soldat;;;1;303;;0;;0;;0;;0;;0;;;;;;68-155/92;2
15256;La Belle des Belles;;;1;302;;400;;0;;0;;0;;0;;;;;;69-157/93 b;2
15257;Marie de l'Onde;;;1;552;A;400;;554;;302;;0;;0;;;;;;70-159/94;2
15258;Les princesses Lune et �toile;;;1;552;A;518;;0;;0;;0;;0;;;;;;71-562/95 R;2
15259;Ivan-tsari�vitch et le Blanc Guerrier de la plaine;;;1;301;;0;;0;;0;;0;;0;;;;;;72-161/96;2
15260;Kuzma-le-T�t-Riche;;;1;545;B;0;;0;;0;;0;;0;;;;;;73-164/99;2
15261;�m�lia l'Idiot;;;1;675;;0;;0;;0;;0;;0;;;;;;74-165/100 a;2
15262;L'oiselle de feu et le loup gris;;;1;550;;0;;0;;0;;0;;0;;;;;;75-168/102;2
15263;L'oiselle de feu et la Fille-Roi;;;1;531;;0;;0;;0;;0;;0;;;;;;76-170/103 b;2
15264;L'eau de jeunesse et la Belle Fille;;;1;551;;0;;0;;0;;0;;0;;;;;;77-173/104 c;2
15265;L'eau de jeunesse et la Fille-Roi;;;1;551;;313;H;530;;0;;0;;0;;;;;;78-175/104 e;2
15266;L'eau de vie et l'eau de mort;;;1;551;;300;;0;;0;;0;;0;;;;;;79-176/104 f;2
15267;Sivko-Bourko;;;1;530;;0;;0;;0;;0;;0;;;;;;80-179/105 a;2
15268;La cane aux plumes d'or, la truie aux soies d'or et la cavale;;;1;530;;530;A;0;;0;;0;;0;;;;;;81-182/106 a;2
15269;Le mari paisible et la femme querelleuse;;;1;564;;0;;0;;0;;0;;0;;;;;;82-565/106 R;2
15270;Les deux, sortez de la besace!;;;1;564;;0;;0;;0;;0;;0;;;;;;83-187/109;2
15271;Le coq et la meule;;;1;1960;G;715;A;0;;0;;0;;0;;;;;;84-188/110;2
15272;L'anneau magique 2;;;1;560;;0;;0;;0;;0;;0;;;;;;85-191/126;2
15273;Les cornes 2;;;1;566;;0;;0;;0;;0;;0;;;;;;86-193/113 b;2
15274;La cane aux oeufs d'or;;;1;567;;0;;0;;0;;0;;0;;;;;;87-195/114 a;2
15275;Le cul-de-jatte et l'aveugle 2;;;1;519;;;;0;;0;;0;;0;;;;;;88-199/116 b;2
15276;Le cul-de-jatte et le manchot;;;1;519;;;;0;;0;;0;;0;;;;;;89-200/116 c;2
15277;L'ours-roi;;;1;314;A;;;0;;0;;0;;0;;;;;;90-201/117;2
15278;Le lait de b�te sauvage 3;;;1;315;;300;;0;;0;;0;;0;;;;;;91-204/118 c;2
15279;La maladie feinte 2;;;1;315;;0;;0;;0;;0;;0;;;;;;92-207/119 b;2
15280;La chemise magique 2;;;1;318;;0;;0;;0;;0;;0;;;;;;93-209/120 b;2
15281;Le miroir magique;;;1;883;A;709;;0;;0;;0;;0;;;;;;94-211/121 b;2
15282;Va je ne sais o�, rapporte je ne sais quoi;;;1;465;A;569;;0;;0;;0;;0;;;;;;95-212/122 a;2
15283;Le D�muni;;;1;465;A;;;0;;0;;0;;0;;;;;;96-215/122 d;2
15284;L'�pouse magique;;;1;1651;;465;C;465;B;569;;0;;0;;;;;;97-216/123;2
15285;Le tsar de l'onde et Vassilissa la Magique 2;;;1;313;;0;;0;;0;;0;;0;;;;;;98-222/125 d;2
15286;Le tsar m�cr�ant et Vassilissa la Magique;;;1;313;;313;H;0;;0;;0;;0;;;;;;99-224/125 f;2
15287;La Fille-Roi 2;;;1;400;;0;;0;;0;;0;;0;;;;;;100-233/128 b;2
15288;Finiste Clair Faucon 2;;;1;432;;425;C;0;;0;;0;;0;;;;;;101-235/129 b;2
15289;H�l�ne la Magique 1;;;1;306;;329;;0;;0;;0;;0;;;;;;102-236/130 a;2
15290;H�l�ne la Magique 2;;;1;400;;329;;0;;0;;0;;0;;;;;;103-237/130 b;2
15291;Les gousli qui vibrent tout seuls;;;1;850;;0;;0;;0;;0;;0;;;;;;104-238/131;2
15292;La princesse qui r�sout les �nigmes;;;1;851;;0;;0;;0;;0;;0;;;;;;105-239/132;2
